GENE	LOEUF	pLI
OR4F5	1.84	0.03
AL627309.1	1.61	0
SAMD11	1.28	0
NOC2L	1.33	0
KLHL17	1.26	0
PLEKHN1	1.12	0
C1orf170	1.69	0
HES4	1.95	0
ISG15	1.69	0.41
AL645608.1	1.7	0.01
AGRN	0.43	0
RNF223	1.87	0.03
C1orf159	1.3	0
TTLL10	1.13	0
TNFRSF18	1.88	0
TNFRSF4	1.32	0
SDF4	0.76	0.01
B3GALT6	1.43	0.02
FAM132A	1.64	0
UBE2J2	0.39	0.91
SCNN1D	1.59	0
ACAP3	0.59	0
PUSL1	1.98	0
CPSF3L	0.99	0
GLTPD1	1.43	0.02
TAS1R3	1.56	0
DVL1	0.73	0
MXRA8	1.13	0
AURKAIP1	1.77	0
CCNL2	0.47	0.16
RP4-758J18.2	1.7	0.01
MRPL20	1.82	0
ANKRD65	1.96	0
TMEM88B	1.6	0.43
VWA1	1.07	0.01
ATAD3C	1.17	0
ATAD3B	1.48	0
ATAD3A	0.83	0
TMEM240	0.87	0.23
SSU72	0.51	0.78
AL645728.1	NA	 NA
C1orf233	1.83	0.12
MIB2	0.62	0
MMP23B	1.83	0.12
CDK11B	0.68	0
SLC35E2B	0.96	0
CDK11A	1.29	0
SLC35E2	1.66	0
NADK	0.99	0
GNB1	0.14	1
CALML6	1.76	0
TMEM52	1.61	0.01
C1orf222	0.79	0
GABRD	0.24	0.99
PRKCZ	0.4	0.54
AL590822.2	NA	 NA
C1orf86	0.75	0.53
AL590822.1	NA	 NA
SKI	0.19	1
MORN1	1.12	0
RER1	0.58	0.38
PEX10	0.86	0
PLCH2	0.96	0
PANK4	0.3	0.98
HES5	1.34	0.25
TNFRSF14	0.44	0.81
FAM213B	1.52	0
MMEL1	1	0
TTC34	1.65	0
ACTRT2	1.38	0
PRDM16	0.19	1
ARHGEF16	1.02	0
MEGF6	0.91	0
TPRG1L	1.49	0
WRAP73	0.8	0
TP73	0.26	1
CCDC27	1.43	0
SMIM1	1.82	0.03
LRRC47	0.41	0.87
CEP104	0.74	0
DFFB	1.08	0
C1orf174	1.41	0
AJAP1	0.19	0.99
NPHP4	0.98	0
KCNAB2	0.39	0.8
CHD5	0.16	1
RPL22	1.04	0.16
RNF207	0.95	0
ICMT	0.45	0.79
HES3	1.25	0.28
GPR153	1.29	0
ACOT7	0.43	0.76
HES2	1.72	0
ESPN	0.93	0
TNFRSF25	0.6	0.01
PLEKHG5	0.56	0
NOL9	0.55	0.01
TAS1R1	1.17	0
ZBTB48	0.64	0
KLHL21	1.13	0
PHF13	0.25	0.98
THAP3	1.36	0.01
DNAJC11	0.24	1
CAMTA1	0.17	1
VAMP3	1.27	0
PER3	0.84	0
UTS2	1.27	0.03
TNFRSF9	0.61	0.32
PARK7	0.53	0.75
ERRFI1	0.88	0.01
SLC45A1	0.74	0
RERE	0.12	1
ENO1	0.86	0
CA6	0.92	0
SLC2A7	1.67	0
SLC2A5	1.19	0
GPR157	1.19	0
H6PD	0.94	0
SPSB1	0.59	0.52
SLC25A33	0.82	0.01
TMEM201	0.29	0.99
PIK3CD	0.2	1
C1orf200	1.84	0.03
CLSTN1	0.31	0.98
CTNNBIP1	1.38	0.02
LZIC	1.14	0
NMNAT1	0.88	0.04
RBP7	0.73	0.54
UBE4B	0.16	1
KIF1B	0.17	1
PGD	0.29	0.99
APITD1-CORT	1.71	0
APITD1	1.71	0
CORT	1.94	0.01
DFFA	1.16	0
PEX14	0.52	0.23
CASZ1	0.15	1
C1orf127	1.04	0
TARDBP	0.28	0.99
MASP2	1.15	0
SRM	0.57	0.23
EXOSC10	0.74	0
MTOR	0.18	1
ANGPTL7	1.75	0
UBIAD1	1.03	0.02
PTCHD2	0.55	0
FBXO2	1	0
FBXO44	1.14	0
MAD2L2	0.72	0.08
FBXO6	0.84	0.02
DRAXIN	1.53	0
AGTRAP	0.95	0.19
C1orf167	1.05	0
MTHFR	0.92	0
CLCN6	0.61	0
NPPA	1.74	0
NPPB	1.86	0
KIAA2013	0.76	0.01
PLOD1	0.94	0
MFN2	0.28	0.99
MIIP	1.74	0
TNFRSF8	0.36	0.86
TNFRSF1B	0.48	0.5
VPS13D	0.33	0
DHRS3	0.67	0.23
AADACL4	1.68	0
AADACL3	1.7	0.01
C1orf158	1.55	0
PRAMEF12	1.26	0
PRAMEF1	1.88	0
PRAMEF11	1.31	0
WI2-3308P17.2	NA	 NA
HNRNPCL1	1.77	0.37
PRAMEF2	1.81	0
PRAMEF4	1.93	0
PRAMEF10	1.54	0
PRAMEF7	1.84	0.33
PRAMEF6	1.98	0
PRAMEF26	1.95	0
PRAMEF13	1.89	0.29
PRAMEF18	1.88	0.3
PRAMEF15	1.84	0.33
PRAMEF14	1.89	0.29
PRAMEF19	1.94	0.06
PRAMEF17	1.95	0
PRAMEF20	1.93	0
LRRC38	1.08	0.14
PDPN	1.15	0
PRDM2	0.22	1
KAZN	0.38	0.6
TMEM51	0.77	0.3
C1orf195	1.67	0.17
FHAD1	1.35	0
EFHD2	1.27	0.01
CTRC	1.69	0
CELA2A	1.83	0
CELA2B	1.11	0
CASP9	0.97	0
DNAJC16	0.78	0
AGMAT	1.54	0
DDI2	0.21	1
RSC1A1	1.52	0
PLEKHM2	0.54	0
SLC25A34	1.34	0
TMEM82	1.41	0
FBLIM1	1.25	0
SPEN	0.07	1
ZBTB17	0.31	0.98
C1orf64	1.85	0.11
HSPB7	1.58	0.02
CLCNKA	1.12	0
CLCNKB	1.24	0
FAM131C	0.89	0.01
EPHA2	0.56	0
ARHGEF19	1.15	0
RSG1	1.63	0
FBXO42	0.27	1
SZRD1	0.67	0.6
SPATA21	1.5	0
NECAP2	1.45	0
NBPF1	1.15	0
CROCC	0.71	0
MFAP2	1.23	0
ATP13A2	0.58	0
SDHB	0.82	0
PADI2	0.89	0
PADI1	1.14	0
PADI3	0.94	0
PADI4	1.14	0
RCC2	0.33	0.96
ARHGEF10L	0.44	0
ACTL8	1.12	0.32
IGSF21	0.53	0.21
KLHDC7A	1.6	0
PAX7	0.56	0.14
TAS1R2	1.29	0
ALDH4A1	0.71	0
IFFO2	0.42	0.73
UBR4	0.1	1
EMC1	1.01	0
MRTO4	0.23	0.99
AKR7L	1.59	0
AKR7A3	1.93	0
AKR7A2	1.52	0
PQLC2	1	0
CAPZB	0.38	0.91
MINOS1	0.58	0.79
NBL1	1.02	0.06
MINOS1-NBL1	1.32	0.03
HTR6	1.27	0
TMCO4	1.3	0
RNF186	1.39	0.08
OTUD3	0.92	0
PLA2G2E	1.74	0
PLA2G2A	1.29	0.1
PLA2G5	1.57	0
PLA2G2D	1.79	0
PLA2G2F	1.82	0
PLA2G2C	1.22	0.04
UBXN10	1.13	0.01
VWA5B1	1.27	0
CAMK2N1	1.67	0.17
MUL1	1.15	0
FAM43B	1.24	0.11
CDA	1.32	0.01
PINK1	1.14	0
DDOST	0.73	0
KIF17	1.05	0
SH2D5	1.09	0
HP1BP3	0.3	0.98
EIF4G3	0.11	1
ECE1	0.32	0.96
NBPF3	1.15	0
ALPL	0.69	0
RAP1GAP	0.35	0.84
USP48	0.16	1
LDLRAD2	1.24	0
HSPG2	0.41	0
CELA3B	1.63	0
CELA3A	1.3	0
CDC42	0.5	0.79
WNT4	0.65	0.13
ZBTB40	0.69	0
EPHA8	0.71	0
C1QA	1.15	0
C1QC	1.09	0.05
C1QB	1.04	0.15
EPHB2	0.18	1
LACTBL1	1.08	0
C1orf234	1.82	0.01
KDM1A	0.28	1
LUZP1	0.4	0.53
HTR1D	1.3	0
HNRNPR	0.21	1
ZNF436	0.88	0
C1orf213	1.86	0.03
TCEA3	0.73	0
ASAP3	0.71	0
E2F2	0.56	0.26
ID3	0.71	0.72
MDS2	0.98	0.38
RPL11	0.3	0.96
TCEB3	0.12	1
PITHD1	0.96	0.01
LYPLA2	0.34	0.95
GALE	1.39	0
HMGCL	1.11	0
FUCA1	0.94	0
CNR2	1.68	0
PNRC2	1.83	0.34
SRSF10	1.64	0.42
MYOM3	1.11	0
IL22RA1	0.63	0.01
IFNLR1	0.76	0.06
GRHL3	0.28	0.99
STPG1	1.34	0
NIPAL3	0.84	0
RCAN3	1.31	0
NCMAP	1.76	0.04
SRRM1	0.15	1
CLIC4	1.16	0
RUNX3	0.42	0.84
SYF2	0.83	0.01
C1orf63	1.83	0
RHD	0.95	0
TMEM50A	0.74	0.16
RHCE	0.77	0
TMEM57	0.26	1
LDLRAP1	1.16	0
MAN1C1	0.43	0.21
SEPN1	1.02	0
AL020996.1	NA	 NA
MTFR1L	0.61	0.31
AUNIP	1.58	0
PAQR7	1.18	0
STMN1	0.94	0.08
PAFAH2	1.11	0
EXTL1	1.08	0
SLC30A2	0.61	0.08
TRIM63	1.47	0
PDIK1L	0.64	0.26
FAM110D	0.95	0.39
ZNF593	1.69	0
CNKSR1	1.28	0
CATSPER4	1.12	0
CEP85	0.53	0
SH3BGRL3	1.06	0.15
UBXN11	1.14	0
CD52	1.7	0.4
AIM1L	0.79	0
ZNF683	1.34	0
LIN28A	1.03	0.02
DHDDS	0.51	0.25
HMGN2	0.46	0.86
RPS6KA1	0.52	0
ARID1A	0.07	1
PIGV	1.24	0
ZDHHC18	0.81	0
SFN	0.7	0.37
GPN2	0.85	0.01
GPATCH3	1.26	0
NUDC	0.38	0.89
NR0B2	1.64	0
C1orf172	0.62	0.15
TRNP1	1.75	0.38
FAM46B	0.72	0.18
SLC9A1	0.38	0.79
WDTC1	0.23	1
TMEM222	1.49	0
SYTL1	1.06	0
MAP3K6	0.77	0
FCN3	0.9	0
CD164L2	1.57	0
GPR3	1.54	0
WASF2	0.31	0.98
AHDC1	0.08	1
FGR	0.42	0.48
IFI6	1.65	0.01
FAM76A	0.93	0
STX12	0.34	0.96
PPP1R8	0.22	0.99
AL109927.1	NA	 NA
THEMIS2	0.71	0
RPA2	0.52	0.5
SMPDL3B	1.27	0
XKR8	1.47	0
EYA3	0.26	1
PTAFR	0.85	0.24
DNAJC8	0.59	0.05
ATPIF1	1.76	0
SESN2	0.91	0
MED18	1.67	0
PHACTR4	0.69	0
RCC1	0.36	0.93
TRNAU1AP	0.82	0
TAF12	0.32	0.95
RAB42	1.94	0
GMEB1	0.29	0.99
YTHDF2	0.14	1
OPRD1	1.19	0
EPB41	0.52	0
TMEM200B	1.38	0
SRSF4	0.38	0.87
MECR	0.85	0
PTPRU	0.34	0.39
MATN1	0.8	0
LAPTM5	0.4	0.9
SDC3	0.66	0.41
PUM1	0.13	1
NKAIN1	0.66	0.25
SNRNP40	0.4	0.85
ZCCHC17	0.84	0.01
FABP3	0.86	0.44
SERINC2	1.25	0
AC114494.1	1.9	0.09
TINAGL1	0.64	0
HCRTR1	0.86	0
PEF1	1.06	0
COL16A1	0.63	0
BAI2	0.25	1
SPOCD1	0.81	0
PTP4A2	0.28	0.97
AL136115.1	NA	 NA
KHDRBS1	0.24	0.99
TMEM39B	0.62	0.01
KPNA6	0.22	1
TXLNA	0.24	1
CCDC28B	1.92	0
IQCC	1.23	0
DCDC2B	1.21	0
TMEM234	1.87	0
EIF3I	0.35	0.95
FAM167B	1.65	0
LCK	0.21	1
HDAC1	0.41	0.61
MARCKSL1	1.63	0.01
TSSK3	1.04	0.06
FAM229A	1.91	0.08
BSDC1	0.58	0.02
ZBTB8B	0.9	0
ZBTB8A	0.74	0
ZBTB8OS	0.49	0.71
RBBP4	0.25	1
SYNC	0.87	0
KIAA1522	0.53	0.03
YARS	0.62	0
S100PBP	0.35	0.95
FNDC5	0.73	0.55
HPCA	0.59	0.68
TMEM54	1.22	0
RNF19B	0.35	0.92
AK2	1.22	0
ADC	0.95	0
TRIM62	1.16	0
ZNF362	0.35	0.94
A3GALT2	1.76	0
PHC2	0.39	0.55
ZSCAN20	0.51	0
HMGB4	1.91	0
C1orf94	0.59	0.01
SMIM12	1.13	0.57
GJB5	1.82	0
GJB4	1.74	0
GJB3	1.32	0
GJA4	0.78	0.06
DLGAP3	0.14	1
ZMYM6NB	1.45	0.22
ZMYM6	0.69	0
ZMYM1	0.66	0
SFPQ	0.15	1
ZMYM4	0.17	1
KIAA0319L	0.45	0
NCDN	0.17	1
TFAP2E	1.16	0
PSMB2	0.39	0.91
C1orf216	1.48	0
CLSPN	0.4	0
AGO4	0.22	1
AGO1	0.06	1
AGO3	0.19	1
TEKT2	1.25	0
ADPRHL2	1.03	0
COL8A2	0.66	0.12
TRAPPC3	0.83	0.25
MAP7D1	0.29	0.99
THRAP3	0.19	1
SH3D21	0.93	0
EVA1B	0.69	0.73
RP11-268J15.5	NA	 NA
STK40	0.23	1
LSM10	1.91	0
OSCP1	1.14	0
MRPS15	1.43	0
CSF3R	0.77	0
GRIK3	0.19	1
ZC3H12A	0.51	0.14
MEAF6	0.65	0.13
SNIP1	0.5	0.42
DNALI1	1.51	0
GNL2	0.55	0
RSPO1	1.4	0
C1orf109	1.4	0
CDCA8	0.68	0.01
EPHA10	1.29	0
MANEAL	0.85	0
YRDC	1.32	0
C1orf122	1.76	0.14
MTF1	0.32	0.97
INPP5B	0.83	0
SF3A3	0.12	1
FHL3	0.84	0
UTP11L	1.18	0
POU3F1	0.7	0.56
RRAGC	0.3	0.98
MYCBP	0.49	0.84
GJA9	1.56	0
RHBDL2	1.37	0
AKIRIN1	0.5	0.79
NDUFS5	1.35	0.03
MACF1	0.08	1
KIAA0754	0.61	0.09
BMP8A	1.35	0
PABPC4	0.23	1
HEYL	1.4	0
NT5C1A	0.96	0
HPCAL4	1.68	0
PPIE	0.45	0.73
BMP8B	1.27	0
OXCT2	1.96	0
TRIT1	1.14	0
MYCL	0.67	0.12
MFSD2A	0.54	0.01
CAP1	0.55	0.02
PPT1	0.89	0
RLF	0.04	1
TMCO2	1.57	0
ZMPSTE24	1.33	0
COL9A2	0.64	0
SMAP2	0.55	0.02
ZFP69B	1.46	0
ZFP69	1.11	0
EXO5	1.43	0
ZNF684	1.48	0
RIMS3	1.06	0
NFYC	0.49	0.11
KCNQ4	0.41	0.47
CITED4	1.82	0.35
CTPS1	0.29	0.99
SLFNL1	1.08	0
SCMH1	0.68	0
FOXO6	0.67	0.41
EDN2	1.02	0.06
HIVEP3	0.31	0.91
GUCA2B	0.98	0.38
GUCA2A	1.21	0.29
FOXJ3	0.27	1
RIMKLA	1.01	0
ZMYND12	0.91	0
PPCS	0.97	0.01
CCDC30	0.93	0
PPIH	1.19	0
YBX1	0.35	0.95
CLDN19	1.08	0
LEPRE1	1.23	0
C1orf50	0.94	0.03
CCDC23	1.88	0
ERMAP	1.17	0
ZNF691	0.47	0.82
SLC2A1	0.24	0.99
FAM183A	1.15	0.04
EBNA1BP2	1.09	0
WDR65	1.11	0
TMEM125	1.97	0
C1orf210	1.91	0
TIE1	0.89	0
MPL	0.76	0
CDC20	0.84	0
ELOVL1	0.46	0.68
MED8	1.1	0
SZT2	0.41	0
HYI	1.74	0
PTPRF	0.19	1
KDM4A	0.16	1
ST3GAL3	0.62	0
ARTN	1.02	0.36
IPO13	0.2	1
DPH2	0.95	0
ATP6V0B	0.28	0.97
B4GALT2	0.59	0.2
CCDC24	1.46	0
SLC6A9	0.63	0
KLF17	1.36	0
DMAP1	0.55	0.04
ERI3	0.74	0
RNF220	0.2	1
TMEM53	1	0.02
C1orf228	0.88	0
KIF2C	0.55	0
RPS8	0.22	0.99
BEST4	0.89	0
PLK3	0.71	0
TCTEX1D4	1.71	0.01
BTBD19	0.67	0.05
PTCH2	0.85	0
EIF2B3	0.43	0.57
HECTD3	0.4	0.09
UROD	1.12	0
ZSWIM5	0.4	0.04
HPDL	1.43	0
MUTYH	1.19	0
TOE1	1.46	0
TESK2	0.81	0
CCDC163P	0.9	0.42
MMACHC	1.75	0
PRDX1	1.91	0
AKR1A1	1.12	0
NASP	0.28	1
CCDC17	1.41	0
GPBP1L1	0.49	0.2
TMEM69	1.63	0
IPP	0.69	0
MAST2	0.71	0
PIK3R3	1	0
TSPAN1	1.37	0
POMGNT1	1.04	0
LURAP1	1.18	0.01
RAD54L	0.97	0
LRRC41	0.18	1
UQCRH	1.35	0
NSUN4	0.91	0
FAAH	1.05	0
DMBX1	0.37	0.93
KNCN	1.96	0
MKNK1	1.03	0
MOB3C	1.21	0
ATPAF1	0.72	0.01
TEX38	1.89	0
EFCAB14	0.95	0
CYP4B1	1.1	0
CYP4A11	1.64	0
CYP4X1	1.11	0
CYP4Z1	1.46	0
CYP4A22	1.87	0
PDZK1IP1	1.6	0
TAL1	0.7	0.57
STIL	0.38	0.2
CMPK1	0.45	0.85
FOXE3	1.61	0.18
FOXD2	1.31	0.03
TRABD2B	0.42	0.84
SLC5A9	1.36	0
SPATA6	1.47	0
AGBL4	0.76	0
BEND5	0.66	0.05
ELAVL4	0.38	0.91
DMRTA2	0.38	0.92
FAF1	0.25	1
CDKN2C	0.95	0.4
C1orf185	1.81	0
RNF11	0.69	0.58
TTC39A	0.56	0
EPS15	0.46	0
OSBPL9	0.31	0.98
NRD1	0.37	0.04
RAB3B	0.75	0.31
TXNDC12	1.33	0
KTI12	1.42	0
BTF3L4	0.7	0.57
ZFYVE9	0.33	0.9
CC2D1B	0.92	0
ORC1	0.88	0
PRPF38A	0.41	0.77
ZCCHC11	0.11	1
GPX7	1.41	0
FAM159A	1.86	0
COA7	1.02	0.06
ZYG11B	0.25	1
ZYG11A	0.98	0
ECHDC2	1.25	0
SCP2	0.76	0
PODN	1.02	0
SLC1A7	1.31	0
CPT2	1.17	0
C1orf123	1.43	0
MAGOH	0.49	0.8
LRP8	0.22	1
DMRTB1	0.47	0.83
GLIS1	0.61	0.04
NDC1	0.24	1
YIPF1	0.77	0
DIO1	0.56	0.58
HSPB11	1.35	0
LRRC42	1.12	0
LDLRAD1	1.43	0
TMEM59	1.47	0
TCEANC2	1.67	0
AL161915.1	NA	 NA
AL357673.1	NA	 NA
CDCP2	1.79	0
CYB5RL	1.07	0
MRPL37	1.12	0
SSBP3	0.2	1
SSBP3-AS1	NA	 NA
ACOT11	1.08	0
FAM151A	1.5	0
MROH7	0.98	0
TTC4	0.9	0
PARS2	0.88	0
TTC22	1.01	0
C1orf177	1.28	0
DHCR24	0.52	0.03
TMEM61	1.84	0
BSND	1.78	0
PCSK9	1.34	0
USP24	0.15	1
PPAP2B	0.38	0.92
PRKAA2	0.92	0
C1orf168	1.7	0
C8A	1.18	0
C8B	1.33	0
DAB1	0.21	1
OMA1	1.13	0
TACSTD2	1.53	0
MYSM1	0.41	0.04
JUN	1.02	0.06
FGGY	1.22	0
HOOK1	0.62	0
CYP2J2	1.39	0
C1orf87	1.68	0
NFIA	0.2	1
TM2D1	1.11	0
INADL	1.04	0
L1TD1	1.33	0
KANK4	0.8	0
USP1	0.26	1
DOCK7	0.38	0
ANGPTL3	1.3	0
ATG4C	1.41	0
FOXD3	0.69	0.58
ALG6	0.64	0
ITGB3BP	1.41	0
EFCAB7	1.19	0
DLEU2L	1.76	0.37
PGM1	1.32	0
ROR1	0.27	1
UBE2U	1.32	0
CACHD1	0.57	0
RAVER2	0.81	0
JAK1	0.21	1
AK4	0.79	0.13
DNAJC6	0.22	1
LEPROT	0.87	0.44
LEPR	0.28	0.99
PDE4B	0.4	0.47
SGIP1	0.2	1
AL139147.1	NA	 NA
TCTEX1D1	1.57	0
INSL5	1.78	0.14
WDR78	0.93	0
MIER1	0.42	0.29
SLC35D1	0.78	0
C1orf141	1.2	0
IL23R	0.61	0
IL12RB2	0.71	0
SERBP1	0.18	1
GADD45A	1.13	0.04
GNG12	1.05	0.59
DIRAS3	NA	 NA
WLS	0.55	0.02
RPE65	1.11	0
DEPDC1	0.8	0
LRRC7	0.16	1
LRRC40	1.35	0
SRSF11	0.23	1
ANKRD13C	0.25	1
HHLA3	1.83	0.01
CTH	0.96	0
PTGER3	0.58	0.37
ZRANB2	0.18	1
NEGR1	0.25	0.99
LRRIQ3	1.22	0
FPGT-TNNI3K	1.43	0
FPGT	1.28	0
TNNI3K	1.43	0
LRRC53	1.39	0
C1orf173	1.36	0
CRYZ	1.93	0
TYW3	1.05	0
LHX8	0.47	0.52
SLC44A5	0.52	0
ACADM	1.15	0
RABGGTB	0.68	0.01
MSH4	0.99	0
ASB17	1.51	0
ST6GALNAC3	0.96	0
ST6GALNAC5	0.61	0.17
PIGK	0.77	0
AK5	0.56	0
ZZZ3	0.18	1
USP33	0.33	0.86
FAM73A	0.73	0
NEXN	0.78	0
FUBP1	0.12	1
DNAJB4	0.83	0.02
GIPC2	1.59	0
PTGFR	0.75	0.07
IFI44L	1.52	0
IFI44	1.5	0
ELTD1	1	0
LPHN2	0.11	1
TTLL7	0.43	0
PRKACB	0.48	0.35
SAMD13	1.42	0.01
DNASE2B	1.63	0
RPF1	1.19	0
GNG5	1.58	0.19
CTBS	1.18	0
C1orf180	1.89	0.09
SSX2IP	0.79	0
LPAR3	0.59	0.68
MCOLN2	1.19	0
WDR63	0.76	0
MCOLN3	0.94	0
SYDE2	1	0
C1orf52	1.1	0.05
BCL10	0.73	0.34
DDAH1	0.95	0
CYR61	0.45	0.71
ZNHIT6	1.16	0
COL24A1	0.91	0
ODF2L	1.22	0
CLCA2	1.27	0
CLCA1	0.72	0
CLCA4	1.03	0
SH3GLB1	0.24	0.99
15-Sep	1.02	0.06
HS2ST1	0.47	0.54
RP5-1052I5.2	0.64	0.07
LMO4	0.59	0.68
PKN2	0.15	1
GTF2B	0.92	0
CCBL2	1.34	0
RBMXL1	0.92	0.03
GBP3	1.34	0
GBP1	1.23	0
GBP2	0.99	0
GBP7	1.18	0
GBP4	1.24	0
GBP5	1.03	0
GBP6	1.27	0
LRRC8B	0.25	1
LRRC8C	0.64	0
LRRC8D	0.31	0.98
ZNF326	0.36	0.9
BARHL2	0.54	0.61
ZNF644	0.25	1
HFM1	0.93	0
CDC7	0.8	0
TGFBR3	0.5	0
BRDT	0.66	0
EPHX4	0.91	0
BTBD8	1.13	0
KIAA1107	0.4	0.17
C1orf146	1.25	0
GLMN	0.91	0
RPAP2	0.77	0
GFI1	0.56	0.25
EVI5	0.76	0
RPL5	0.17	1
FAM69A	0.49	0.58
MTF2	0.18	1
TMED5	1.74	0
CCDC18	0.97	0
DR1	0.37	0.92
FNBP1L	0.37	0.75
BCAR3	0.38	0.58
DNTTIP2	0.9	0
GCLM	0.22	0.99
ABCA4	0.91	0
ARHGAP29	0.25	1
ABCD3	0.43	0.01
F3	0.8	0.02
SLC44A3	1.47	0
CNN3	0.49	0.6
ALG14	1.2	0
TMEM56	0.65	0.26
TMEM56-RWDD3	0.96	0.01
RWDD3	1.09	0
PTBP2	0.22	1
DPYD	1	0
SNX7	0.92	0
LPPR5	0.65	0.06
LPPR4	0.37	0.86
PALMD	0.7	0
FRRS1	0.85	0
AGL	0.8	0
SLC35A3	0.8	0
HIAT1	0.32	0.97
SASS6	0.68	0
TRMT13	0.93	0
LRRC39	0.83	0
DBT	0.82	0
RTCA	1.13	0
CDC14A	0.77	0
GPR88	0.53	0.75
VCAM1	0.39	0.8
EXTL2	1.03	0
SLC30A7	1.02	0
DPH5	1.27	0
AC093157.1	1.69	0.41
S1PR1	0.55	0.73
OLFM3	0.69	0
COL11A1	0.22	1
RNPC3	0.74	0
AMY2B	1.72	0
AMY2A	1.68	0
AMY1A	1.84	0
AMY1B	1.93	0
AMY1C	1.64	0
PRMT6	0.92	0
NTNG1	0.36	0.92
VAV3	0.72	0
SLC25A24	1.13	0
NBPF4	1.47	0.01
NBPF6	1.61	0.01
FAM102B	0.77	0
HENMT1	1.57	0
PRPF38B	0.38	0.7
FNDC7	0.96	0
STXBP3	0.59	0
